#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; probability density
0,0;1,0;0,15305889706637693
1,0;2,0;0,0
2,0;3,0;0,0
3,0;4,0;0,0
4,0;5,0;0,0
5,0;6,0;0,0
6,0;7,0;0,0
7,0;8,0;0,0
8,0;9,0;0,0
9,0;10,0;0,0
10,0;11,0;0,0
11,0;12,0;0,0
12,0;13,0;0,0
13,0;14,0;0,0
14,0;15,0;0,0
15,0;16,0;0,0
16,0;17,0;0,0
17,0;18,0;0,0
18,0;19,0;0,0
19,0;20,0;0,0
20,0;21,0;0,0
21,0;22,0;0,0
22,0;23,0;0,0
23,0;24,0;0,001873451486138026
24,0;25,0;7,835066624183195E-5
25,0;26,0;0,0015078150436761437
26,0;27,0;0,0033464440114844667
27,0;28,0;0,010655690608889145
28,0;29,0;0,0013249968224452024
29,0;30,0;9,384668689854981E-4
30,0;31,0;0,004095128155573083
31,0;32,0;0,024330493556963546
32,0;33,0;0,025347311092190877
33,0;34,0;0,0030852751240116934
34,0;35,0;0,005672588235908633
35,0;36,0;0,012598787131686577
36,0;37,0;0,008313876251216611
37,0;38,0;0,003440464810974665
38,0;39,0;0,01146183190822177
39,0;40,0;5,380079081939127E-4
40,0;41,0;0,0014520990143486187
41,0;42,0;0,010034108656703945
42,0;43,0;4,979620121147541E-4
43,0;44,0;0,002571642978648573
44,0;45,0;0,0025211503270705033
45,0;46,0;9,227967357371318E-5
46,0;47,0;0,0025228914529869884
47,0;48,0;1,2361994007044596E-4
48,0;49,0;3,4474293146406055E-4
49,0;50,0;0,005834512946141752
50,0;51,0;0,004763720507503382
51,0;52,0;0,0029842898208555543
52,0;53,0;0,006066082693034278
53,0;54,0;0,004136915177568727
54,0;55,0;0,02024058877913992
55,0;56,0;0,006438683639162101
56,0;57,0;0,0036424354172869427
57,0;58,0;0,015725849277693913
58,0;59,0;0,014964977252189902
59,0;60,0;0,0032088950640821396
60,0;61,0;0,003598907269374814
61,0;62,0;7,364962626732203E-4
62,0;63,0;0,004211783591977588
63,0;64,0;0,006753827430045913
64,0;65,0;0,005667364858159177
65,0;66,0;0,008266865851471513
66,0;67,0;0,017120491136798522
67,0;68,0;0,011820503847017712
68,0;69,0;0,0017655016793159464
69,0;70,0;0,011514065685716326
70,0;71,0;0,01775774322223209
71,0;72,0;0,00986696056872137
72,0;73,0;0,015549995560128912
73,0;74,0;0,005747456650317494
74,0;75,0;0,004302322139634817
75,0;76,0;0,0047968018999166
76,0;77,0;0,0057387510207350684
77,0;78,0;8,183291807480225E-4
78,0;79,0;0,0012170470156231228
79,0;80,0;0,48291346081857295
