#histogram type: discrete-time histogram
#waiting_time_per_customer
#(lowerBound+upperBound)/2 ; probability
0,5;0,0
1,5;0,0
2,5;0,0
3,5;0,0
4,5;0,0
5,5;0,0
6,5;0,0
7,5;0,0
8,5;0,0
9,5;0,0
10,5;0,0
11,5;0,0
12,5;0,0
13,5;0,0
14,5;0,0
15,5;0,0
16,5;0,0
17,5;0,0
18,5;0,0
19,5;0,0
20,5;0,0
21,5;0,0
22,5;0,0
23,5;0,0
24,5;0,0
25,5;0,0
26,5;0,0
27,5;0,0
28,5;0,0
29,5;0,0
30,5;0,0
31,5;0,0
32,5;0,0
33,5;0,0
34,5;0,0
35,5;0,0
36,5;0,0
37,5;0,0
38,5;0,0
39,5;0,0
40,5;0,0
41,5;0,0
42,5;0,0
43,5;0,0
44,5;0,0
45,5;0,0
46,5;0,0
47,5;0,0
48,5;0,0
49,5;0,0
50,5;0,0
51,5;0,0
52,5;0,0
53,5;0,0
54,5;0,0
55,5;0,0
56,5;0,0
57,5;0,011764705882352941
58,5;0,014705882352941176
59,5;0,0
60,5;0,0029411764705882353
61,5;0,0029411764705882353
62,5;0,008823529411764706
63,5;0,008823529411764706
64,5;0,0058823529411764705
65,5;0,01764705882352941
66,5;0,0058823529411764705
67,5;0,011764705882352941
68,5;0,011764705882352941
69,5;0,014705882352941176
70,5;0,008823529411764706
71,5;0,01764705882352941
72,5;0,01764705882352941
73,5;0,008823529411764706
74,5;0,008823529411764706
75,5;0,011764705882352941
76,5;0,0029411764705882353
77,5;0,0058823529411764705
78,5;0,0058823529411764705
79,5;0,7941176470588235
