#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; probability density
0,0;1,0;0,038686263736263736
1,0;2,0;0,018763186813186814
2,0;3,0;0,01822032967032967
3,0;4,0;0,017895604395604395
4,0;5,0;0,01770686813186813
5,0;6,0;0,01736978021978022
6,0;7,0;0,016966208791208793
7,0;8,0;0,016513736263736263
8,0;9,0;0,016259065934065935
9,0;10,0;0,01588901098901099
10,0;11,0;0,01555934065934066
11,0;12,0;0,01543956043956044
12,0;13,0;0,014993131868131868
13,0;14,0;0,014718956043956044
14,0;15,0;0,014463461538461538
15,0;16,0;0,01421510989010989
16,0;17,0;0,013906868131868132
17,0;18,0;0,013653846153846154
18,0;19,0;0,013331043956043957
19,0;20,0;0,013025549450549451
20,0;21,0;0,012786263736263737
21,0;22,0;0,012605769230769231
22,0;23,0;0,012443681318681319
23,0;24,0;0,012195054945054944
24,0;25,0;0,012036538461538461
25,0;26,0;0,011750274725274725
26,0;27,0;0,011350824175824175
27,0;28,0;0,01126043956043956
28,0;29,0;0,010983241758241759
29,0;30,0;0,010746703296703297
30,0;31,0;0,010596978021978022
31,0;32,0;0,010358241758241758
32,0;33,0;0,01001401098901099
33,0;34,0;0,009762637362637362
34,0;35,0;0,009551098901098901
35,0;36,0;0,00943598901098901
36,0;37,0;0,009282417582417582
37,0;38,0;0,00909423076923077
38,0;39,0;0,008989835164835164
39,0;40,0;0,008899450549450549
40,0;41,0;0,008715934065934065
41,0;42,0;0,008465659340659341
42,0;43,0;0,008289835164835165
43,0;44,0;0,008143681318681319
44,0;45,0;0,008037362637362638
45,0;46,0;0,008086263736263736
46,0;47,0;0,007867307692307693
47,0;48,0;0,007620329670329671
48,0;49,0;0,0075774725274725275
49,0;50,0;0,007491483516483517
50,0;51,0;0,00728434065934066
51,0;52,0;0,007014010989010989
52,0;53,0;0,006850824175824176
53,0;54,0;0,0067332417582417585
54,0;55,0;0,006739285714285714
55,0;56,0;0,006589835164835165
56,0;57,0;0,00635989010989011
57,0;58,0;0,00624532967032967
58,0;59,0;0,00628489010989011
59,0;60,0;0,006006318681318681
60,0;61,0;0,005946428571428571
61,0;62,0;0,005784340659340659
62,0;63,0;0,005669505494505495
63,0;64,0;0,005566758241758242
64,0;65,0;0,005437637362637362
65,0;66,0;0,005277197802197802
66,0;67,0;0,0051052197802197805
67,0;68,0;0,0051137362637362635
68,0;69,0;0,005057692307692307
69,0;70,0;0,004887087912087912
70,0;71,0;0,004676648351648351
71,0;72,0;0,004708791208791209
72,0;73,0;0,004724450549450549
73,0;74,0;0,004592582417582418
74,0;75,0;0,0045535714285714285
75,0;76,0;0,004432142857142857
76,0;77,0;0,004291483516483516
77,0;78,0;0,004123626373626374
78,0;79,0;0,0040071428571428576
79,0;80,0;0,20792005494505494
