#histogram type: continuous-time histogram
#queue_occupancy_over_time
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,040430029104672346
1,0;2,0;0,01956091173095381
2,0;3,0;0,019059206916146685
3,0;4,0;0,018831585019209212
4,0;5,0;0,018375706398188453
5,0;6,0;0,01814622921974008
6,0;7,0;0,01786828336716977
7,0;8,0;0,017305974444854547
8,0;9,0;0,0171301209080823
9,0;10,0;0,016448451976687067
10,0;11,0;0,016207988405277426
11,0;12,0;0,01602209232430192
12,0;13,0;0,015572740509589796
13,0;14,0;0,015496915524472847
14,0;15,0;0,015155918402830796
15,0;16,0;0,014760930038723669
16,0;17,0;0,014463104453961966
17,0;18,0;0,01409497365510621
18,0;19,0;0,01384382596586927
19,0;20,0;0,013458543480247331
20,0;21,0;0,013400278261554842
21,0;22,0;0,013040361711304333
22,0;23,0;0,013049633676056105
23,0;24,0;0,012453653080937592
24,0;25,0;0,01232435238302064
25,0;26,0;0,01212734567515564
26,0;27,0;0,01180902659323264
27,0;28,0;0,011465282832213208
28,0;29,0;0,011136458660958153
29,0;30,0;0,010967397017724173
30,0;31,0;0,01083288211488328
31,0;32,0;0,010289138019699265
32,0;33,0;0,010387938547770008
33,0;34,0;0,009951665192460801
34,0;35,0;0,009687289140365828
35,0;36,0;0,009723009109776453
36,0;37,0;0,009359625363364864
37,0;38,0;0,009164010404592476
38,0;39,0;0,009064588048687615
39,0;40,0;0,008870413545289632
40,0;41,0;0,008665472320843201
41,0;42,0;0,008492460532336432
42,0;43,0;0,008485108681105786
43,0;44,0;0,008519061731415388
44,0;45,0;0,008160731426288169
45,0;46,0;0,007989595158726964
46,0;47,0;0,007715484432203178
47,0;48,0;0,0076437677232265985
48,0;49,0;0,007367533995190294
49,0;50,0;0,007200724852941033
50,0;51,0;0,007161379227405247
51,0;52,0;0,006910021739150445
52,0;53,0;0,006809357373059838
53,0;54,0;0,006562503734936731
54,0;55,0;0,006512016053795836
55,0;56,0;0,006499430745496082
56,0;57,0;0,006310471105215036
57,0;58,0;0,006380937905689904
58,0;59,0;0,006179140046449923
59,0;60,0;0,0059409706067320754
60,0;61,0;0,0059069897477683425
61,0;62,0;0,005842230138772329
62,0;63,0;0,005665563569100273
63,0;64,0;0,005484718625733646
64,0;65,0;0,005394508997210806
65,0;66,0;0,005298417756064851
66,0;67,0;0,00519075087467687
67,0;68,0;0,004989322261708328
68,0;69,0;0,005000419724737876
69,0;70,0;0,004954977915661882
70,0;71,0;0,0047745005730842
71,0;72,0;0,004767029753469308
72,0;73,0;0,004641164987546069
73,0;74,0;0,0045374867557212125
74,0;75,0;0,004464258506526528
75,0;76,0;0,0044417417240917925
76,0;77,0;0,004294358654510594
77,0;78,0;0,004192527147687674
78,0;79,0;0,003986433591851369
79,0;80,0;0,18932854807673483
