#histogram type: discrete-time histogram
#waiting_time_per_customer
#lowerBound ; upperBound ; relative frequency
0,0;1,0;0,04020727272727273
1,0;2,0;0,019358441558441557
2,0;3,0;0,018975930735930735
3,0;4,0;0,018595151515151516
4,0;5,0;0,018316709956709958
5,0;6,0;0,017844329004329005
6,0;7,0;0,017451082251082252
7,0;8,0;0,017303030303030303
8,0;9,0;0,01688069264069264
9,0;10,0;0,01653835497835498
10,0;11,0;0,01606181818181818
11,0;12,0;0,015815064935064935
12,0;13,0;0,01571930735930736
13,0;14,0;0,01531861471861472
14,0;15,0;0,015047445887445887
15,0;16,0;0,014785974025974025
16,0;17,0;0,014527272727272727
17,0;18,0;0,014152554112554113
18,0;19,0;0,013842943722943722
19,0;20,0;0,013478787878787878
20,0;21,0;0,01326943722943723
21,0;22,0;0,01289108225108225
22,0;23,0;0,012659047619047618
23,0;24,0;0,012408311688311689
24,0;25,0;0,012005021645021645
25,0;26,0;0,01196121212121212
26,0;27,0;0,011518614718614718
27,0;28,0;0,011365194805194805
28,0;29,0;0,01111099567099567
29,0;30,0;0,010896623376623376
30,0;31,0;0,010555151515151516
31,0;32,0;0,010298008658008659
32,0;33,0;0,01013021645021645
33,0;34,0;0,010038441558441559
34,0;35,0;0,009748917748917748
35,0;36,0;0,009629437229437229
36,0;37,0;0,009415757575757576
37,0;38,0;0,009212813852813853
38,0;39,0;0,00913904761904762
39,0;40,0;0,008856103896103897
40,0;41,0;0,008833939393939394
41,0;42,0;0,008582164502164502
42,0;43,0;0,008509090909090909
43,0;44,0;0,008221818181818183
44,0;45,0;0,008097316017316017
45,0;46,0;0,007925021645021645
46,0;47,0;0,007773160173160173
47,0;48,0;0,007632207792207792
48,0;49,0;0,007454545454545454
49,0;50,0;0,007386493506493507
50,0;51,0;0,007167445887445887
51,0;52,0;0,006965021645021645
52,0;53,0;0,006816277056277056
53,0;54,0;0,006681904761904762
54,0;55,0;0,006520519480519481
55,0;56,0;0,006424935064935065
56,0;57,0;0,006229090909090909
57,0;58,0;0,00617974025974026
58,0;59,0;0,006096277056277057
59,0;60,0;0,005944761904761905
60,0;61,0;0,005920865800865801
61,0;62,0;0,005766926406926407
62,0;63,0;0,005680692640692641
63,0;64,0;0,005575584415584416
64,0;65,0;0,005511861471861472
65,0;66,0;0,005375584415584416
66,0;67,0;0,005211082251082251
67,0;68,0;0,005118268398268398
68,0;69,0;0,005015930735930736
69,0;70,0;0,005010909090909091
70,0;71,0;0,004786839826839827
71,0;72,0;0,004746666666666666
72,0;73,0;0,004650389610389611
73,0;74,0;0,00451012987012987
74,0;75,0;0,0044514285714285715
75,0;76,0;0,004341471861471861
76,0;77,0;0,004266839826839827
77,0;78,0;0,004135064935064935
78,0;79,0;0,004102510822510823
79,0;80,0;0,19304900432900432
